"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"d:\tutorials\myCeloJs\src\App.js", "JavaScript", 121, 0, 7, 23, 151
"d:\tutorials\myCeloJs\src\components\ListDiv\Cell.js", "JavaScript", 21, 0, 0, 3, 24
"d:\tutorials\myCeloJs\src\components\ListDiv\ColumnTitle.js", "JavaScript", 39, 0, 0, 7, 46
"d:\tutorials\myCeloJs\src\components\ListDiv\ListDiv.js", "JavaScript", 103, 0, 0, 12, 115
"d:\tutorials\myCeloJs\src\components\MainView.js", "JavaScript", 27, 0, 0, 5, 32
"d:\tutorials\myCeloJs\src\components\Navbar\NavCheckBox.js", "JavaScript", 26, 0, 0, 9, 35
"d:\tutorials\myCeloJs\src\components\Navbar\Navbar.js", "JavaScript", 155, 0, 0, 23, 178
"d:\tutorials\myCeloJs\src\components\Navbar\NavbarIcon.js", "JavaScript", 14, 0, 0, 3, 17
"d:\tutorials\myCeloJs\src\components\Navbar\StyledInputDiv.js", "JavaScript", 20, 0, 0, 6, 26
"d:\tutorials\myCeloJs\src\components\Navbar\StyledNavbar.js", "JavaScript", 16, 0, 0, 3, 19
"d:\tutorials\myCeloJs\src\components\Notification.js", "JavaScript", 12, 0, 0, 2, 14
"d:\tutorials\myCeloJs\src\components\Player\Members.js", "JavaScript", 40, 0, 0, 7, 47
"d:\tutorials\myCeloJs\src\components\Player\Player.js", "JavaScript", 35, 0, 0, 7, 42
"d:\tutorials\myCeloJs\src\components\Player\PlayerExtraInfo.js", "JavaScript", 22, 0, 0, 7, 29
"d:\tutorials\myCeloJs\src\components\Player\PlayerMainRow.js", "JavaScript", 128, 0, 0, 16, 144
"d:\tutorials\myCeloJs\src\components\Player\Rank.js", "JavaScript", 52, 0, 0, 7, 59
"d:\tutorials\myCeloJs\src\components\Settings\CopyDiv.js", "JavaScript", 30, 0, 0, 7, 37
"d:\tutorials\myCeloJs\src\components\Settings\RadioButton.js", "JavaScript", 26, 0, 0, 4, 30
"d:\tutorials\myCeloJs\src\components\Settings\RadioButtonsDiv.js", "JavaScript", 17, 0, 0, 6, 23
"d:\tutorials\myCeloJs\src\components\Settings\Settings.js", "JavaScript", 117, 0, 0, 20, 137
"d:\tutorials\myCeloJs\src\components\Settings\SettingsDiv.js", "JavaScript", 18, 0, 0, 5, 23
"d:\tutorials\myCeloJs\src\components\Table\FactionIcon.js", "JavaScript", 20, 0, 0, 3, 23
"d:\tutorials\myCeloJs\src\components\Table\TableDiv.js", "JavaScript", 36, 0, 0, 7, 43
"d:\tutorials\myCeloJs\src\components\Table\TableRankRow.js", "JavaScript", 32, 0, 0, 3, 35
"d:\tutorials\myCeloJs\src\components\Table\TableRanksDiv.js", "JavaScript", 40, 0, 0, 5, 45
"d:\tutorials\myCeloJs\src\components\Teams\Team.js", "JavaScript", 23, 0, 0, 3, 26
"d:\tutorials\myCeloJs\src\components\UpdateBar.js", "JavaScript", 110, 0, 0, 18, 128
"d:\tutorials\myCeloJs\src\components\styled\StyledFlex.js", "JavaScript", 13, 0, 1, 2, 16
"d:\tutorials\myCeloJs\src\components\styled\styledSettings.js", "JavaScript", 37, 0, 0, 4, 41
"d:\tutorials\myCeloJs\src\functions\checkLogData.js", "JavaScript", 17, 0, 0, 1, 18
"d:\tutorials\myCeloJs\src\functions\getExtraInfo.js", "JavaScript", 30, 0, 0, 10, 40
"d:\tutorials\myCeloJs\src\functions\getFactionFlagLocation.js", "JavaScript", 19, 0, 1, 1, 21
"d:\tutorials\myCeloJs\src\functions\getPlayersInfo.js", "JavaScript", 61, 0, 1, 4, 66
"d:\tutorials\myCeloJs\src\functions\guessRankings.js", "JavaScript", 144, 0, 4, 20, 168
"d:\tutorials\myCeloJs\src\functions\ranksArrFuns.js", "JavaScript", 36, 0, 1, 4, 41
"d:\tutorials\myCeloJs\src\functions\readLog.js", "JavaScript", 62, 0, 0, 14, 76
"d:\tutorials\myCeloJs\src\functions\readSettings.js", "JavaScript", 10, 0, 1, 1, 12
"d:\tutorials\myCeloJs\src\functions\refactorData.js", "JavaScript", 38, 0, 20, 9, 67
"d:\tutorials\myCeloJs\src\functions\refactorTableInfo.js", "JavaScript", 41, 0, 0, 4, 45
"d:\tutorials\myCeloJs\src\functions\simpleFunctions.js", "JavaScript", 66, 0, 0, 5, 71
"d:\tutorials\myCeloJs\src\functions\sorters.js", "JavaScript", 28, 0, 0, 5, 33
"d:\tutorials\myCeloJs\src\functions\writeRankings.js", "JavaScript", 137, 0, 3, 18, 158
"d:\tutorials\myCeloJs\src\functions\writeSettings.js", "JavaScript", 17, 0, 0, 3, 20
"d:\tutorials\myCeloJs\src\hooks\useTimedBoolean.js", "JavaScript", 15, 0, 0, 4, 19
"d:\tutorials\myCeloJs\src\index.css", "CSS", 0, 29, 0, 8, 37
"d:\tutorials\myCeloJs\src\index.js", "JavaScript", 63, 0, 2, 23, 88
"d:\tutorials\myCeloJs\src\reducer.js", "JavaScript", 101, 0, 2, 14, 117
"Total", "-", 2235, 29, 43, 375, 2682
