"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"d:\tutorials\myCeloJs\src\App.js", "JavaScript", 0, 121, 7, 23, 151
"d:\tutorials\myCeloJs\src\components\ListDiv\Cell.js", "JavaScript", 0, 21, 0, 3, 24
"d:\tutorials\myCeloJs\src\components\ListDiv\ColumnTitle.js", "JavaScript", 0, 39, 0, 7, 46
"d:\tutorials\myCeloJs\src\components\ListDiv\ListDiv.js", "JavaScript", 0, 103, 0, 12, 115
"d:\tutorials\myCeloJs\src\components\MainView.js", "JavaScript", 0, 27, 0, 5, 32
"d:\tutorials\myCeloJs\src\components\Navbar\NavCheckBox.js", "JavaScript", 0, 26, 0, 9, 35
"d:\tutorials\myCeloJs\src\components\Navbar\Navbar.js", "JavaScript", 0, 158, 0, 28, 186
"d:\tutorials\myCeloJs\src\components\Navbar\NavbarIcon.js", "JavaScript", 0, 14, 0, 3, 17
"d:\tutorials\myCeloJs\src\components\Navbar\StyledInputDiv.js", "JavaScript", 0, 20, 0, 6, 26
"d:\tutorials\myCeloJs\src\components\Navbar\StyledNavbar.js", "JavaScript", 0, 16, 0, 3, 19
"d:\tutorials\myCeloJs\src\components\Notification.js", "JavaScript", 0, 12, 0, 2, 14
"d:\tutorials\myCeloJs\src\components\Player\Members.js", "JavaScript", 0, 40, 0, 7, 47
"d:\tutorials\myCeloJs\src\components\Player\Player.js", "JavaScript", 0, 35, 0, 7, 42
"d:\tutorials\myCeloJs\src\components\Player\PlayerExtraInfo.js", "JavaScript", 0, 22, 0, 7, 29
"d:\tutorials\myCeloJs\src\components\Player\PlayerMainRow.js", "JavaScript", 0, 128, 0, 16, 144
"d:\tutorials\myCeloJs\src\components\Player\Rank.js", "JavaScript", 0, 52, 0, 7, 59
"d:\tutorials\myCeloJs\src\components\Settings\CopyDiv.js", "JavaScript", 0, 30, 0, 7, 37
"d:\tutorials\myCeloJs\src\components\Settings\RadioButton.js", "JavaScript", 0, 26, 0, 4, 30
"d:\tutorials\myCeloJs\src\components\Settings\RadioButtonsDiv.js", "JavaScript", 0, 17, 0, 6, 23
"d:\tutorials\myCeloJs\src\components\Settings\Settings.js", "JavaScript", 0, 117, 0, 20, 137
"d:\tutorials\myCeloJs\src\components\Settings\SettingsDiv.js", "JavaScript", 0, 18, 0, 5, 23
"d:\tutorials\myCeloJs\src\components\Table\FactionIcon.js", "JavaScript", 0, 20, 0, 3, 23
"d:\tutorials\myCeloJs\src\components\Table\TableDiv.js", "JavaScript", 0, 36, 0, 7, 43
"d:\tutorials\myCeloJs\src\components\Table\TableRankRow.js", "JavaScript", 0, 32, 0, 3, 35
"d:\tutorials\myCeloJs\src\components\Table\TableRanksDiv.js", "JavaScript", 0, 40, 0, 5, 45
"d:\tutorials\myCeloJs\src\components\Teams\Team.js", "JavaScript", 0, 23, 0, 3, 26
"d:\tutorials\myCeloJs\src\components\UpdateBar.js", "JavaScript", 0, 110, 0, 18, 128
"d:\tutorials\myCeloJs\src\components\styled\StyledFlex.js", "JavaScript", 0, 16, 4, 6, 26
"d:\tutorials\myCeloJs\src\components\styled\styledSettings.js", "JavaScript", 0, 37, 0, 4, 41
"d:\tutorials\myCeloJs\src\functions\checkLogData.js", "JavaScript", 0, 17, 0, 1, 18
"d:\tutorials\myCeloJs\src\functions\getExtraInfo.js", "JavaScript", 0, 30, 0, 10, 40
"d:\tutorials\myCeloJs\src\functions\getFactionFlagLocation.js", "JavaScript", 0, 19, 1, 1, 21
"d:\tutorials\myCeloJs\src\functions\getPlayersInfo.js", "JavaScript", 0, 61, 1, 4, 66
"d:\tutorials\myCeloJs\src\functions\guessRankings.js", "JavaScript", 0, 144, 4, 20, 168
"d:\tutorials\myCeloJs\src\functions\ranksArrFuns.js", "JavaScript", 0, 36, 1, 4, 41
"d:\tutorials\myCeloJs\src\functions\readLog.js", "JavaScript", 0, 62, 0, 14, 76
"d:\tutorials\myCeloJs\src\functions\readSettings.js", "JavaScript", 0, 10, 1, 1, 12
"d:\tutorials\myCeloJs\src\functions\refactorData.js", "JavaScript", 0, 38, 20, 9, 67
"d:\tutorials\myCeloJs\src\functions\refactorTableInfo.js", "JavaScript", 0, 41, 0, 4, 45
"d:\tutorials\myCeloJs\src\functions\simpleFunctions.js", "JavaScript", 0, 66, 0, 5, 71
"d:\tutorials\myCeloJs\src\functions\sorters.js", "JavaScript", 0, 28, 0, 5, 33
"d:\tutorials\myCeloJs\src\functions\writeRankings.js", "JavaScript", 0, 137, 3, 18, 158
"d:\tutorials\myCeloJs\src\functions\writeSettings.js", "JavaScript", 0, 17, 0, 3, 20
"d:\tutorials\myCeloJs\src\hooks\useTimedBoolean.js", "JavaScript", 0, 15, 0, 4, 19
"d:\tutorials\myCeloJs\src\index.css", "CSS", 29, 0, 0, 8, 37
"d:\tutorials\myCeloJs\src\index.js", "JavaScript", 0, 63, 2, 23, 88
"d:\tutorials\myCeloJs\src\reducer.js", "JavaScript", 0, 101, 2, 14, 117
"Total", "-", 29, 2241, 46, 384, 2700
